idx,label,pred,method,deletion_auc,insertion_auc,combined,sanity_corr,seconds
0,0,0,gradcam,0.08768216286668519,0.5928683856909628,0.5051862228242776,-0.19302649448861214,4.330968379974365
0,0,0,gradcampp,0.0774429861454541,0.5697095092274344,0.49226652308198027,0.06853986980463965,0.13415050506591797
0,0,0,scorecam,0.08061974293221802,0.5785166797507614,0.49789693681854336,0.06302094798886623,21.43188166618347
0,0,0,integrated_grad,0.07059975351326939,0.322292927645173,0.2516931741319036,0.09510471513636283,9.348207473754883
0,0,0,shap,0.08883822170910392,0.5635988739787554,0.4747606522696515,0.18171258691555814,33.81196880340576
0,0,0,rise,0.10061930022990909,0.6334622258678904,0.5328429256379813,-0.08111529733437876,155.55172491073608
0,0,0,occlusion,0.04259698350306837,0.71035228435855,0.6677553008554816,-0.15532441256764618,23.12993884086609
1,0,0,gradcam,0.06517648139522082,0.7197267498005222,0.6545502684053014,0.39481939176691017,0.09135174751281738
1,0,0,gradcampp,0.08356926098592656,0.6608795868412518,0.5773103258553253,0.6807997064320287,0.10079550743103027
1,0,0,scorecam,0.09344465612308081,0.6510653938560292,0.5576207377329484,0.6773883199099486,16.730920791625977
1,0,0,integrated_grad,0.08985317479735905,0.32010689394912933,0.2302537191517703,0.20107879715879026,6.001354455947876
1,0,0,shap,0.06722019879831648,0.46671106949331576,0.3994908706949993,-0.030667504237979253,7.228480339050293
1,0,0,rise,0.05075462226201051,0.7292595860491594,0.6785049637871489,0.22502194750012008,125.35514688491821
1,0,0,occlusion,0.04778768205793609,0.79718463535243,0.749396953294494,0.10427164299375442,21.485679388046265
2,0,0,gradcam,0.1398758940638763,0.5289559026168346,0.38908000855295827,-0.09566620006556847,0.1048269271850586
2,0,0,gradcampp,0.1131283365019378,0.544682845849449,0.4315545093475112,0.14618180363388084,0.25631260871887207
2,0,0,scorecam,0.1420711826923271,0.5973888481520572,0.45531766545973007,0.026431535957835726,21.59645438194275
2,0,0,integrated_grad,0.16014700357920114,0.672628576124281,0.5124815725450798,0.16099429557792866,11.842989206314087
2,0,0,shap,0.07383356715156562,0.5570256384005322,0.48319207124896657,0.41467048997028655,9.747525215148926
2,0,0,rise,0.18529614632398633,0.6555384025414612,0.4702422562174749,0.38367627964154954,154.86322617530823
2,0,0,occlusion,0.046814799046118495,0.667011923767822,0.6201971247217035,-0.16265758703483837,29.017320156097412
3,0,21,gradcam,0.07456278442237373,0.12035365332218245,0.045790868899808726,-0.1808579449452705,0.14910340309143066
3,0,21,gradcampp,0.13307460933538096,0.19580821886521166,0.0627336095298307,-0.28505003939220924,0.13953042030334473
3,0,21,scorecam,0.13249948880774337,0.22926122780948816,0.09676173900174478,-0.4650603378909378,22.178170680999756
3,0,21,integrated_grad,0.03363117181991083,0.0892149990201632,0.055583827200252366,0.13238393169893195,8.551209449768066
3,0,21,shap,0.08064436387323846,0.18520506504627318,0.10456070117303472,0.09331463548982805,9.749407052993774
3,0,21,rise,0.047709725382001314,0.25358758139443627,0.20587785601243497,0.24406233814949907,155.76205730438232
3,0,21,occlusion,0.03626554490219117,0.2009923733264203,0.16472682842422914,-0.05067330040716179,26.864280462265015
4,0,0,gradcam,0.026187957697323568,0.352242665309655,0.3260547076123314,0.21012696122781185,0.14148545265197754
4,0,0,gradcampp,0.07149639309737926,0.21911763408500015,0.1476212409876209,-0.417475967226644,0.13638663291931152
4,0,0,scorecam,0.10244772799045195,0.2183981078078989,0.11595037981744695,-0.4282021419898867,21.18847155570984
4,0,0,integrated_grad,0.07290280723683114,0.20504816672195264,0.13214535948512152,0.05837658137251923,8.809458494186401
4,0,0,shap,0.06491541821764703,0.2528586557185621,0.18794323750091507,-0.12201225783085462,9.511324167251587
4,0,0,rise,0.03636476909828533,0.2738878804320477,0.23752311133376236,-0.1531846530259899,131.97500658035278
4,0,0,occlusion,0.02885168033306432,0.304262619192704,0.27541093885963963,-0.025295742330410435,23.225014448165894
5,0,0,gradcam,0.30357055677225675,0.3511635244932983,0.047592967721041546,0.060302369982402945,0.09095501899719238
5,0,0,gradcampp,0.1685374666044574,0.5351515986191344,0.366614132014677,-0.11111145968381894,0.10909080505371094
5,0,0,scorecam,0.16687272031609907,0.5402933016387633,0.37342058132266426,-0.1202824470318751,17.53192973136902
5,0,0,integrated_grad,0.1863208096929528,0.28879435732292497,0.10247354762997216,0.22320024362384502,6.291575908660889
5,0,0,shap,0.16599028106830535,0.40853314056926604,0.2425428595009607,0.4932967649828775,7.177735090255737
5,0,0,rise,0.08239712653695667,0.5079010802133149,0.42550395367635824,0.270583703707685,127.29486656188965
5,0,0,occlusion,0.07716400144047895,0.44636827679122293,0.36920427535074396,-0.01588178730954323,23.526376962661743
