method_name,deletion_auc,insertion_auc,combined,sanity_corr,seconds
Grad-CAM,0.11617597286962267,0.4442184802055759,0.32804250733595314,0.03261634724627897,0.8181151549021403
Grad-CAM++,0.10787484211175598,0.45422489891458023,0.3463500568028242,0.013647318927979492,0.14604441324869788
Score-CAM,0.11965925314365335,0.4691539265024997,0.34949467335884626,-0.041117353842674856,20.10963813463847
Integrated Grad.,0.10224245343992068,0.31634765346393734,0.2141052000240166,0.14518976076139628,8.474132498105368
SHAP,0.09024034180302942,0.4056554072011174,0.31541506539808795,0.17171911921495273,12.871073444684347
RISE,0.08385694830552483,0.508939459416385,0.42508251111086004,0.14817405310641416,141.80033806959787
Occlusion,0.0465801152138095,0.5210286854648581,0.4744485702510486,-0.050926864442640885,24.54143504301707
